orderdate,revenue,productline,customername,city,country,month
2003-01-06,4080.0,Vintage Cars,Online Diecast Creations Co.,Nashua,USA,2003-01
2003-01-06,2754.5,Vintage Cars,Online Diecast Creations Co.,Nashua,USA,2003-01
2003-01-06,1660.12,Vintage Cars,Online Diecast Creations Co.,Nashua,USA,2003-01
2003-01-06,1729.21,Vintage Cars,Online Diecast Creations Co.,Nashua,USA,2003-01
2003-01-09,2701.5,Vintage Cars,"Blauer See Auto, Co.",Frankfurt,Germany,2003-01
2003-01-09,4343.56,Vintage Cars,"Blauer See Auto, Co.",Frankfurt,Germany,2003-01
2003-01-09,1463.8500000000001,Vintage Cars,"Blauer See Auto, Co.",Frankfurt,Germany,2003-01
2003-01-09,2040.1000000000001,Vintage Cars,"Blauer See Auto, Co.",Frankfurt,Germany,2003-01
2003-01-10,3726.45,Vintage Cars,Vitachrome Inc.,NYC,USA,2003-01
2003-01-10,1768.3300000000002,Vintage Cars,Vitachrome Inc.,NYC,USA,2003-01
2003-01-29,5571.8,Classic Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,5026.14,Classic Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,3284.28,Trucks and Buses,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,3307.5,Trucks and Buses,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,1283.48,Trucks and Buses,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,2489.13,Vintage Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,2164.4,Vintage Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,2173.0,Vintage Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,3970.26,Vintage Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,3530.5199999999995,Trucks and Buses,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,1670.75,Vintage Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,3864.2400000000002,Trucks and Buses,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,2215.5,Vintage Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,2866.2599999999998,Trucks and Buses,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,2850.75,Trucks and Buses,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-29,3950.9399999999996,Classic Cars,Baane Mini Imports,Stavern,Norway,2003-01
2003-01-31,4468.96,Classic Cars,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,4566.99,Trucks and Buses,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,3261.6000000000004,Classic Cars,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,3559.17,Trucks and Buses,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,3816.85,Classic Cars,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,4529.6,Classic Cars,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,1820.7,Classic Cars,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,1338.04,Classic Cars,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,2767.7000000000003,Classic Cars,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,1818.25,Trucks and Buses,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,2770.95,Trains,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,3781.4700000000003,Trucks and Buses,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-01-31,1705.92,Trains,Euro+ Shopping Channel,Madrid,Spain,2003-01
2003-02-11,6392.0,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,8434.52,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,4114.5199999999995,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,3004.98,Vintage Cars,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,3333.7400000000002,Trains,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,3094.6800000000003,Vintage Cars,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,5072.71,Ships,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,3232.24,Vintage Cars,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,3773.5,Vintage Cars,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,2214.0,Ships,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,2511.69,Ships,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,1882.32,Ships,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,3594.24,Ships,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,2184.82,Ships,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-11,1119.25,Ships,Danish Wholesale Imports,Kobenhavn,Denmark,2003-02
2003-02-17,4825.44,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,2757.3999999999996,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,3315.2599999999998,Ships,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,3863.02,Vintage Cars,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,3002.44,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,3222.73,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,1732.59,Vintage Cars,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,2798.0,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,1846.0,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,2156.5499999999997,Vintage Cars,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,1395.42,Vintage Cars,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,2831.54,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,2552.7000000000003,Ships,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,3390.48,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,3644.8,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,3344.0,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
2003-02-17,3375.84,Planes,Rovelli Gifts,Bergamo,Italy,2003-02
